"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"100","Princess of Tai Mei - Original Mix","Hi Profile","Princess of Tai Mei","7:15","GBKQU1592916","https://open.spotify.com/track/6jFANVEv41oTi7yXVpjr3Q"
"101","You And Me - Original","Querox","The Life & Me","7:54","DEAR41176028","https://open.spotify.com/track/6DJY4j19K6cPN07L9fCR6k"
"102","Mein Kumpel Spalding","Marsimoto","Grüner Samt","3:25","DEQ321100229","https://open.spotify.com/track/3205ROwVa64zeEJ26OhwAb"
"103","Shuffle on (feat. P.keys)","Zeier","Shuffle on (feat. P.keys)","3:24","QM4DW1507602","https://open.spotify.com/track/4SeHRLfNI0aM1aUfAJSs3g"
"104","Ferien Zu Haus - Original Version","I-FIRE","Ferien Zu Haus","3:51","DEHI50800001","https://open.spotify.com/track/3SV3nLYpHyL9tvWNYYitiB"
"105","Cornetto - Dumme Jungs Remix","Marla Blumenblatt","Cornetto","3:29","DEQ321300137","https://open.spotify.com/track/6xNa4orl244LhQ2mxeArf0"
"106","Willing To Die","St. John","Willing To Die","4:09","USA2P1139825","https://open.spotify.com/track/4k1Keo5A1cVrWGt4f89xYp"
"107","Reptilians","Fant4stik","Reptilians","5:31","FR0U91500993","https://open.spotify.com/track/25E7yslbiIZ1Wfe6lLcxU5"
"108","Showmaster","Beginner","Bambule","4:17","DEA859800193","https://open.spotify.com/track/0kAABpiC0Lmzqnd3pcrY5F"
"109","Kuku","Natureboy Flako","Natureboy","3:43","GBT7D1100081","https://open.spotify.com/track/1LzwylzATpuM5L7FMu67r1"
"110","Je veux - Bonus Track","Tinush","Collection 01","4:33","SE3OH1602708","https://open.spotify.com/track/64Pg1E1a1M2aDHos3DjTDF"
"111","Slavery (feat. Sena Sener)","PaulWetz","Slavery (feat. Sena Sener)","3:56","TCACF1568409","https://open.spotify.com/track/7ij87D9eKK9pkfCFsuVNXh"
"112","Its Only Dreams","Class A","Classic EP","7:56","DEGA21200723","https://open.spotify.com/track/4oKRvi3I9y6Xmjmxcazw9k"
"113","Spartan Force","Interactive Noise","The Nine Stories","6:29","DEKC41600025","https://open.spotify.com/track/06vgdbPgD3cEcDEqFYo10X"
